92,Neznáma
93,Ábelová
94,Čáry
95,Číčov
96,Číž
97,Čaňa
98,Čab
99,Čabalovce
100,Čabiny
101,Čabradský Vrbovok
102,Čachtice
103,Čajkov
104,Čaka
105,Čakajovce
106,Čakanovce
107,Čakanovce
108,Čakany
109,Čaklov
110,Čalovec
111,Veľký Meder
112,Čamovce
113,Čaradice
114,Častá
115,Častkov
116,Častkovce
117,Čata
118,Čataj
119,Čavoj
120,Čečehov
121,Čečejovce
122,Čeľadice
123,Čeľovce
124,Čelovce
125,Čebovce
126,Čechy
127,Čechynce
128,Čekovce
129,Čeláre
130,Čeľadince
131,Čelkova Lehota
132,Čelovce
133,Čenkovce
134,Čerín
135,Čereňany
136,Čerenčany
137,Čerhov
138,Čermany
139,Černík
140,Černina
141,Černochov
142,Čertižné
143,Červeňany
144,Červená Voda
145,Červeník
146,Červený Hrádok
147,Červený Kameň
148,Červený Kláštor
149,Červenica
150,Červenica pri Sabinove
151,České Brezovo
152,Čičarovce
153,Čičava
154,Čičmany
155,Čižatice
156,Čierna
157,Čierna Lehota
158,Čierna Lehota
159,Čierna nad Tisou
160,Čierna Voda
161,Čierne
162,Čierne Kľačany
163,Čierne nad Topľou
164,Čierne Pole
165,Čierny Balog
166,Čierny Brod
167,Čierny Potok
168,Čifáre
169,Čiližská Radvaň
170,Čimhová
171,Čirč
172,Čoltovo
173,Čremošné
174,Čučma
175,Čukalovce
176,Ďačov
177,Ďanová
178,Ďapalovce
179,Ďubákovo
180,Ďurčiná
181,Ďurďoš
182,Ďurďošík
183,Ďurďové
184,Ďurkov
185,Ďurková
186,Ďurkovce
187,Lúčky
188,Ľubá
189,Ľubeľa
190,Ľubiša
191,Ľubica
192,Ľubietová
193,Ľubochňa
194,Ľuboreč
195,Ľuboriečka
196,Ľubotín
197,Ľubotice
198,Ľubovec
199,Ľudovítová
200,Ľutina
201,Ľutov
202,Ňagov
203,Šávoľ
204,Šíd
205,Šípkov
206,Šípkové
207,Šúrovce
208,Šútovce
209,Šútovo
210,Šaľa
211,Šašová
212,Šaštín-Stráže
213,Tornaľa
214,Šahy
215,Šajdíkove Humence
216,Šalgočka
217,Šalgovce
218,Šalov
219,Šambron
220,Šamorín
221,Šamudovce
222,Šandal
223,Šarbov
224,Šarišská Poruba
225,Šarišská Trstená
226,Šarišské Čierne
227,Šarišské Bohdanovce
228,Šarišské Dravce
229,Šarišské Jastrabie
230,Šarišské Michaľany
231,Šarišské Sokolovce
232,Šarišský Štiavnik
233,Šarkan
234,Šarovce
235,Šelpice
236,Šemša
237,Šemetkovce
238,Šenkvice
239,Šišov
240,Šiatorská Bukovinka
241,Šiba
242,Šimonovce
243,Šindliar
244,Šintava
245,Širákov
246,Širkovce
247,Široké
248,Šivetice
249,Šmigovec
250,Šoltýska
251,Šoporňa
252,Špačince
253,Špania Dolina
254,Španie Pole
255,Šrobárová
256,Štítnik
257,Štós
258,Štôla
259,Štúrovo
260,Štefanov
261,Štefanov nad Oravou
262,Štefanová
263,Štefanovce
264,Štefanovce
265,Štefanovičová
266,Štefurov
267,Šterusy
268,Štiavnička
269,Štiavnické Bane
270,Štiavnik
271,Štitáre
272,Štrba
273,Štrkovec
274,Štvrtok
275,Štvrtok na Ostrove
276,Šuľa
277,Šuňava
278,Sudince
279,Šuja
280,Šumiac
281,Šurany
282,Šurianky
283,Šurice
284,Švábovce
285,Švedlár
286,Telgárt
287,Švošov
288,Ťapešovo
289,Úbrež
290,Údol
291,Úhorná
292,Žíp
293,Žirany
294,Žaškov
295,Žabokreky
296,Žabokreky nad Nitrou
297,Žakarovce
298,Žakovce
299,Žalobín
300,Žarnov
301,Žarnovica
302,Žbince
303,Ždaňa
304,Ždiar
305,Želovce
306,Žehňa
307,Žehra
308,Železná Breznica
309,Železník
310,Želiezovce
311,Želmanovce
312,Žemberovce
313,Žemliare
314,Žiar
315,Žiar
316,Žiar nad Hronom
317,Žibritov
318,Žihárec
319,Žikava
320,Žilina
321,Žipov
322,Žitavany
323,Žitavce
324,Žitná-Radiša
325,Žlkovce
326,Župčany
327,Župkov
328,Abovce
329,Abrahám
330,Abrahámovce
331,Abrahámovce
332,Abramová
333,Abranovce
334,Adamovské Kochanovce
335,Adidovce
336,Alekšince
337,Andovce
338,Andrejová
339,Svätý Anton
340,Ardanovce
341,Ardovo
342,Arnutovce
343,Báč
344,Báb
345,Bádice
346,Báhoň
347,Bánov
348,Bánovce nad Bebravou
349,Bánovce nad Ondavou
350,Bátka
351,Bátorová
352,Bátovce
353,Bíňa
354,Bíňovce
355,Bílkove Humence
356,Bôrka
357,Búč
358,Bžany
359,Bačka
360,Bačkov
361,Bačkovík
362,Baďan
363,Baňa
364,Baška
365,Baškovce
366,Baškovce
367,Bašovce
368,Babín
369,Babie
370,Babiná
371,Babindol
372,Babinec
373,Bacúch
374,Bacúrov
375,Badín
376,Bajč
377,Bajany
378,Bajerov
379,Bajerovce
380,Bajka
381,Bajtava
382,Baka
383,Baláže
384,Baldovce
385,Baloň
386,Balog nad Ipľom
387,Banka
388,Banská Štiavnica
389,Banská Belá
390,Banská Bystrica
391,Banské
392,Banský Studenec
393,Bara
394,Barca
395,Bardejov
396,Bardoňovo
397,Bartošova Lehôtka
398,Bartošovce
399,Batizovce
400,Beňadiková
401,Beňadikovce
402,Beňadovo
403,Beňatina
404,Beňuš
405,Beša
406,Beša
407,Bešeňov
408,Bešeňová
409,Bežovce
410,Becherov
411,Beckov
412,Beharovce
413,Belá
414,Belá
415,Belá nad Cirochou
416,Belá-Dulice
417,Belín
418,Belža
419,Beladice
420,Belejovce
421,Belina
422,Belince
423,Bellova Ves
424,Beloveža
425,Beluša
426,Beluj
427,Beniakovce
428,Benice
429,Benkovce
430,Bernolákovo
431,Bertotovce
432,Betlanovce
433,Betliar
434,Bidovce
435,Biel
436,Bielovce
437,Biely Kostol
438,Bijacovce
439,Biskupice
440,Biskupová
441,Bitarová
442,Blažice
443,Blažovce
444,Blahová
445,Blatná na Ostrove
446,Blatná Polianka
447,Blatné
448,Blatné Remety
449,Blatné Revištia
450,Blatnica
451,Blesovce
452,Blhovce
453,Bočiar
454,Boľ
455,Boľkovce
456,Bošáca
457,Bošany
458,Boťany
459,Bobot
460,Bobrov
461,Bobrovček
462,Bobrovec
463,Bobrovník
464,Bodíky
465,Bodiná
466,Bodorová
467,Bodovce
468,Bodružal
469,Bodza
470,Bodzianske Lúky
471,Bogliarka
472,Bohúňovo
473,Bohdanovce
474,Bohdanovce nad Trnavou
475,Boheľov
476,Bohunice
477,Bohunice
478,Bojná
479,Bojničky
480,Bojnice
481,Boldog
482,Bolešov
483,Boleráz
484,Boliarov
485,Borčany
486,Borčice
487,Borša
488,Borcová
489,Borinka
490,Borová
491,Borovce
492,Borský Svätý Jur
493,Borský Mikuláš
494,Bory
495,Bottovo
496,Bracovce
497,Branč
498,Branovo
499,Braväcovo
500,Brdárka
501,Brežany
502,Brehov
503,Brehy
504,Brekov
505,Brestov
506,Brestov
507,Brestov nad Laborcom
508,Brestovany
509,Brestovec
510,Brestovec
511,Bretejovce
512,Bretka
513,Breza
514,Brezany
515,Brezina
516,Breziny
517,Breznička
518,Breznička
519,Breznica
520,Brezno
521,Brezolupy
522,Brezov
523,Brezová pod Bradlom
524,Brezovec
525,Brezovička
526,Brezovica
527,Brezovica
528,Brezovka
529,Brhlovce
530,Brieštie
531,Brodské
532,Brodzany
533,Brunovce
534,Brusník
535,Brusnica
536,Brusno
537,Brutovce
538,Bruty
539,Brvnište
540,Brzotín
541,Bučany
542,Bušince
543,Bušovce
544,Buclovany
545,Budča
546,Budiš
547,Budikovany
548,Budimír
549,Budiná
550,Budince
551,Budkovce
552,Budmerice
553,Buglovce
554,Buková
555,Bukovce
556,Bukovec
557,Bukovec
558,Bukovina
559,Bulhary
560,Bunetice
561,Bunkovce
562,Buzica
563,Buzitka
564,Byšta
565,Bystrá
566,Bystrá
567,Bystré
568,Bystrany
569,Bystričany
570,Bystrička
571,Bytča
572,Bzenica
573,Bzenov
574,Bzince pod Javorinou
575,Bziny
576,Bzovík
577,Bzovská Lehôtka
578,Cífer
579,Cabaj-Čápor
580,Cabov
581,Cakov
582,Cejkov
583,Cernina
584,Cerová
585,Cerovo
586,Cestice
587,Chľaba
588,Chanava
589,Chlebnice
590,Chlmec
591,Chmeľnica
592,Chmeľov
593,Chmeľová
594,Chmeľovec
595,Chmiňany
596,Chminianska Nová Ves
597,Chminianske Jakubovany
598,Choča
599,Choňkovce
600,Chocholná-Velčice
601,Chorvátsky Grob
602,Chorváty
603,Chotča
604,Chotín
605,Chrámec
606,Chrťany
607,Chrabrany
608,Chrasť nad Hornádom
609,Chrastince
610,Chrastné
611,Chrenovec-Brusno
612,Chropov
613,Chtelnica
614,Chudá Lehota
615,Chvalová
616,Chvojnica
617,Chvojnica
618,Chyžné
619,Chynorany
620,Cigeľ
621,Cigeľka
622,Cigla
623,Cimenná
624,Cinobaňa
625,Dúbrava
626,Dúbrava
627,Dúbrava
628,Dúbravica
629,Dúbravka
630,Dúbravy
631,Dačov Lom
632,Daletice
633,Danišovce
634,Dargov
635,Davidov
636,Dežerice
637,Debraď
638,Dechtice
639,Dedačov
640,Dedina Mládeže
641,Dedinka
642,Dedinky
643,Dekýš
644,Demänovská Dolina
645,Demandice
646,Demjata
647,Detrík
648,Detva
649,Detvianska Huta
650,Devičany
651,Devičie
652,Diaková
653,Diakovce
654,Divín
655,Diviacka Nová Ves
656,Diviaky nad Nitricou
657,Divina
658,Divinka
659,Dlžín
660,Dlhá
661,Dlhá nad Kysucou
662,Dlhá nad Oravou
663,Dlhá nad Váhom
664,Dlhá Ves
665,Dlhé Klčovo
666,Dlhé nad Cirochou
667,Dlhé Pole
668,Dlhé Stráže
669,Dlhoňa
670,Doľany
671,Doľany
672,Dobšiná
673,Dobrá
674,Dobrá Niva
675,Dobrá Voda
676,Dobroč
677,Kotmanová
678,Dobrohošť
679,Dobroslava
680,Dohňany
681,Dojč
682,Dolinka
683,Dolná Ždaňa
684,Dolná Breznica
685,Dolná Krupá
686,Dolná Lehota
687,Dolná Mariková
688,Dolná Mičiná
689,Dolná Poruba
690,Dolná Súča
691,Dolná Seč
692,Dolná Streda
693,Dolná Strehová
694,Dolná Tižina
695,Dolná Trnávka
696,Dolná Ves
697,Dolné Dubové
698,Dolné Kočkovce
699,Dolné Lefantovce
700,Dolné Lovčice
701,Dolné Mladonice
702,Dolné Naštice
703,Dolné Obdokovce
704,Dolné Orešany
705,Dolné Otrokovce
706,Dolné Plachtince
707,Dolné Saliby
708,Dolné Semerovce
709,Dolné Srnie
710,Dolné Strháre
711,Dolné Trhovište
712,Dolné Vestenice
713,Dolné Zahorany
714,Dolné Zelenice
715,Dolný Badín
716,Dolný Bar
717,Dolný Chotár
718,Dolný Harmanec
719,Dolný Hričov
720,Dolný Kalník
721,Dolný Kubín
722,Dolný Lieskov
723,Dolný Lopašov
724,Dolný Ohaj
725,Svätý Peter
726,Dolný Pial
727,Dolný Vadičov
728,Domadice
729,Domaníky
730,Domaniža
731,Domaňovce
732,Donovaly
733,Drážovce
734,Drábsko
735,Drňa
736,Drženice
737,Držkovce
738,Dražice
739,Dražkovce
740,Drahňov
741,Drahovce
742,Dravce
743,Drienčany
744,Drienica
745,Drienov
746,Drienovec
747,Drienovo
748,Drienovská Nová Ves
749,Drietoma
750,Drnava
751,Družstevná pri Hornáde
752,Dubinné
753,Dubník
754,Dubnička
755,Dubnica nad Váhom
756,Dubno
757,Dubodiel
758,Dubová
759,Dubová
760,Dubové
761,Dubové
762,Dubovany
763,Dubovce
764,Dubovec
765,Dubovica
766,Ducové
767,Dudince
768,Dukovce
769,Dulov
770,Dulova Ves
771,Dulovce
772,Dulovo
773,Dunajov
774,Dunajská Lužná
775,Dunajská Streda
776,Dunajský Klátov
777,Duplín
778,Dvorany nad Nitrou
779,Dvorec
780,Dvorianky
781,Dvorníky
782,Dvory nad Žitavou
783,Egreš
784,Fačkov
785,Falkušovce
786,Farná
787,Fekišovce
788,Fiľakovo
789,Fiľakovské Kováče
790,Figa
791,Fijaš
792,Fintice
793,Folkušová
794,Forbasy
795,Frička
796,Fričkovce
797,Fričovce
798,Fulianka
799,Gáň
800,Gánovce
801,Gôtovany
803,Gaboltov
804,Gajary
805,Galanta
806,Galovany
807,Gbeľany
808,Gbelce
809,Gbely
810,Geča
811,Gelnica
812,Gemer
813,Gemerček
814,Gemerská Hôrka
815,Gemerská Panica
816,Gemerská Poloma
817,Gemerská Ves
818,Gemerské Dechtáre
819,Gemerské Michalovce
820,Gemerské Teplice
821,Gemerský Jablonec
822,Gemerský Sad
823,Geraltov
824,Gerlachov
825,Gerlachov
826,Giglovce
827,Giraltovce
828,Girovce
829,Glabušovce
830,Gočaltovo
831,Gočovo
832,Golianovo
833,Gortva
834,Granč-Petrovce
835,Gregorova Vieska
836,Gregorovce
837,Gribov
838,Gruzovce
839,Gyňov
840,Háj
841,Háj
842,Hájske
843,Hôrka
844,Hôrka nad Váhom
845,Hôrky
846,Hýľov
847,Hačava
848,Hažín
849,Hažín nad Cirochou
850,Hažlín
851,Habovka
852,Habura
853,Hajná Nová Ves
854,Hajnáčka
855,Hajtovka
856,Haláčovce
857,Halič
858,Haligovce
859,Haluzice
860,Hamuliakovo
861,Handlová
862,Hanigovce
863,Haniska
864,Haniska
865,Hanková
866,Hankovce
867,Hankovce
868,Hanušovce nad Topľou
869,Harakovce
870,Harhaj
871,Harichovce
872,Harmanec
873,Hatalov
874,Hatné
875,Havaj
876,Havka
877,Havranec
878,Heľpa
879,Helcmanovce
880,Henckovce
881,Henclová
882,Hencovce
883,Hendrichovce
884,Herľany
885,Hermanovce
886,Hermanovce nad Topľou
887,Hertník
888,Hervartov
889,Hiadeľ
890,Hincovce
891,Hladovka
892,Hlboké
893,Hlboké nad Váhom
894,Hliník nad Hronom
895,Hlinné
896,Hlivištia
897,Hlohovec
898,Hnúšťa
899,Hniezdne
900,Hnilčík
901,Hnilec
902,Hnojné
903,Hodejov
904,Hodejovec
905,Hodkovce
906,Hodruša-Hámre
907,Hokovce
908,Holčíkovce
909,Holíč
910,Holiša
911,Holiare
912,Holice
913,Holumnica
914,Honce
915,Hontianska Vrbica
916,Hontianske Moravce
917,Hontianske Nemce
918,Hontianske Tesáre
919,Hontianske Trsťany
920,Horňa
921,Horňany
922,Horná Štubňa
923,Horná Ždaňa
924,Horná Breznica
925,Horná Kráľová
926,Horná Krupá
927,Horná Lehota
928,Horná Lehota
929,Horná Mariková
930,Horná Mičiná
931,Horná Poruba
932,Horná Potôň
933,Potônske Lúky
934,Horná Súča
935,Horná Seč
936,Horná Streda
937,Horná Strehová
938,Horná Ves
939,Horná Ves
940,Horné Štitáre
941,Horné Chlebany
942,Horné Dubové
943,Horné Hámre
944,Horné Lefantovce
945,Horné Mýto
946,Horné Mladonice
947,Horné Naštice
948,Horné Obdokovce
949,Horné Orešany
950,Horné Otrokovce
951,Horné Plachtince
952,Horné Pršany
953,Horné Saliby
954,Horné Semerovce
955,Horné Srnie
956,Horné Strháre
957,Horné Turovce
958,Horné Trhovište
959,Horné Vestenice
960,Horné Zahorany
961,Horné Zelenice
962,Horný Badín
963,Horný Bar
964,Horný Hričov
965,Horný Kalník
966,Horný Lieskov
967,Horný Pial
968,Horný Tisovník
969,Horný Vadičov
970,Horovce
971,Horovce
972,Hosťová
973,Hosťovce
974,Hosťovce
975,Hoste
976,Hostišovce
977,Hostice
978,Hostie
979,Hostovice
980,Hozelec
981,Hrádok
982,Hrčeľ
983,Hraň
984,Hrašné
985,Hrašovík
986,Hrabičov
987,Hrabkov
988,Hrabová Roztoka
989,Hrabovčík
990,Hrabovec
991,Hrabovec nad Laborcom
992,Hrabovka
993,Hrabské
994,Hrabušice
995,Hrachovište
996,Hrachovo
997,Hradište
998,Hradište
999,Hradište pod Vrátnom
1000,Hradisko
1001,Hraničné
1002,Hranovnica
1003,Hrhov
1004,Hričovské Podhradie
1005,Hriňová
1006,Hrišovce
1007,Hriadky
1008,Hrkovce
1009,Hrlica
1010,Nitrianske Hrnčiarovce
1011,Hrnčiarovce nad Parnou
1012,Hrnčiarska Ves
1013,Hrnčiarske Zalužany
1014,Dolný Štál
1015,Hrochoť
1016,Hromoš
1017,Hronec
1018,Hronovce
1019,Hronsek
1020,Hronská Breznica
1021,Hronská Dúbrava
1022,Hronské Kľačany
1023,Hronské Kosihy
1024,Hronský Beňadik
1025,Hrušov
1026,Hrušov
1027,Hrušovany
1028,Hrušovo
1029,Hruštín
1030,Hrubá Borša
1031,Hrubý Šúr
1032,Hruboňovo
1033,Hrubov
1034,Hubice
1035,Hubina
1036,Hubošovce
1037,Hubová
1038,Hubovo
1039,Hucín
1040,Hudcovce
1041,Hul
1042,Humenné
1043,Huncovce
1044,Hunkovce
1045,Hurbanova Ves
1046,Hurbanovo
1047,Husák
1048,Husiná
1049,Hutka
1050,Huty
1051,Hviezdoslavov
1052,Hvozdnica
1053,Hybe
1054,Iňa
1055,Iňačovce
1056,Iža
1057,Ižipovce
1058,Ižkovce
1059,Igram
1060,Ihľany
1061,Ihráč
1062,Ilava
1063,Iliašovce
1064,Ilija
1065,Imeľ
1066,Inovce
1067,Ipeľské Úľany
1068,Ipeľské Predmostie
1069,Ipeľský Sokolec
1070,Istebné
1071,Ivachnová
1072,Ivančiná
1073,Ivanice
1074,Ivanka pri Nitre
1075,Ivanka pri Dunaji
1076,Ivanovce
1077,Jánovce
1078,Jabloň
1079,Jabloňovce
1080,Jablonec
1081,Jablonica
1082,Jablonka
1083,Jablonov
1084,Jablonov nad Turňou
1085,Jablonové
1086,Jablonové
1087,Jacovce
1088,Jahodná
1089,Jaklovce
1090,Jakovany
1091,Jakušovce
1092,Jakubany
1093,Jakubov
1094,Jakubova Voľa
1095,Jakubovany
1096,Jakubovany
1097,Jalšové
1098,Jalšovík
1099,Jalová
1100,Jalovec
1101,Jalovec
1102,Jamník
1103,Jamník
1104,Janík
1105,Janíky
1106,Janice
1107,Jankovce
1108,Janov
1109,Janovík
1110,Janova Lehota
1111,Janovce
1112,Jánovce
1113,Jarabá
1114,Jarabina
1115,Jarok
1116,Jarovnice
1117,Jasenica
1118,Jasenie
1119,Jasenov
1120,Jasenov
1121,Jasenová
1122,Jasenové
1123,Jasenovce
1124,Jasenovo
1125,Jaslovské Bohunice
1126,Jasov
1127,Jasová
1128,Jastrabá
1129,Jastrabie nad Topľou
1130,Jastrabie pri Michalovciach
1131,Jatov
1132,Tatranská Javorina
1133,Javorina
1134,Jazernica
1135,Ješkova Ves
1136,Jedľové Kostoľany
1137,Jedlinka
1138,Jelšava
1139,Jelšovce
1140,Jelšovec
1141,Jelenec
1142,Jelka
1143,Jenkovce
1144,Jesenské
1145,Jesenské
1146,Jestice
1147,Jezersko
1148,Jovice
1149,Jovsa
1150,Jur nad Hronom
1151,Svätý Jur
1152,Jurková Voľa
1153,Jurová
1154,Jurské
1155,Juskova Voľa
1156,Kálnica
1157,Kátlovce
1158,Kátov
1159,Kľúčovec
1160,Kľačany
1161,Kľače
1162,Kľačno
1163,Kľak
1164,Kľušov
1165,Kšinná
1166,Kútniky
1167,Kúty
1168,Kačanov
1169,Kaľamenová
1170,Kaľava
1171,Kašov
1172,Kajal
1173,Kalša
1174,Kalameny
